numEmpleado,anio,numeroPeriodo,tipoPeriodo,fechaInicio,fechaFin,netoPagar,percepciones,deducciones,diasLaborados,diasPagados
007,2026,10,semanal,2026-03-02,2026-03-08,3072.37,3535.98,463.61,5,7
007,2026,11,semanal,2026-03-09,2026-03-15,3219.9,3705.78,485.88,5,7
007,2026,12,semanal,2026-03-16,2026-03-22,3099.74,3567.48,467.74,5,7
007,2026,13,semanal,2026-03-23,2026-03-29,3059.4,3521.06,461.66,5,7
007,2026,14,semanal,2026-03-30,2026-04-05,3215.56,3700.78,485.22,5,7
007,2026,15,semanal,2026-04-06,2026-04-12,3116.58,3586.86,470.28,5,7
007,2026,16,semanal,2026-04-13,2026-04-19,3048.73,3508.78,460.05,5,7
007,2026,17,semanal,2026-04-20,2026-04-26,3208.24,3692.36,484.12,5,7
007,2026,18,semanal,2026-04-27,2026-05-03,3133.77,3606.65,472.88,5,7
007,2026,19,semanal,2026-05-04,2026-05-10,3040.7,3499.54,458.84,5,7
007,2026,20,semanal,2026-05-11,2026-05-17,3198.21,3680.81,482.6,5,7
007,2026,21,semanal,2026-05-18,2026-05-24,3150.76,3626.2,475.44,5,7
007,2026,22,semanal,2026-05-25,2026-05-31,3035.59,3493.65,458.06,5,7
007,2026,23,semanal,2026-06-01,2026-06-07,3185.79,3666.52,480.73,5,7
007,2026,24,semanal,2026-06-08,2026-06-14,3166.95,3644.84,477.89,5,7
007,2026,25,semanal,2026-06-15,2026-06-20,2426.84,2793.05,366.21,4,5
